customerkey,FirstName,LastName,MiddleName,AddressLine1,AddressLine2,City,StateProvinceCode,StateProvinceName,EnglishCountryRegionName,CountryRegionCode,PostalCode,Phone,maritalstatus,EmailAddress,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer,ClothingBuyer,AccessoryBuyer,ComponentBuyer
11161,Emily,Wood,NULL,1562 Black Walnut,NULL,Concord,CA,California,United States,US,94519,184-555-0114,Single,emily27@adventure-works.com,Female,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,35,0,0,1,0
11162,Chase,Cox,NULL,P.O. Box 8070,NULL,La Jolla,CA,California,United States,US,92806,764-555-0116,Single,chase10@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,36,1,0,1,0
11163,Gabriel,Wang,NULL,8002 Crane Court,NULL,Spring Valley,CA,California,United States,US,91977,617-555-0150,Married,gabriel21@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,35,0,0,1,0
11164,Devin,Brooks,NULL,4231 Highland Dr.,NULL,Torrance,CA,California,United States,US,90505,502-555-0138,Single,devin63@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,35,0,1,1,0
11165,Jocelyn,Alexander,NULL,3376 Bank Way,NULL,Oakland,CA,California,United States,US,94611,354-555-0134,Married,jocelyn18@adventure-works.com,Female,60000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,36,0,1,1,0
11166,Ashley,Martinez,NULL,6993 Whyte Park Ave.,NULL,Olympia,WA,Washington,United States,US,98501,131-555-0194,Single,ashley18@adventure-works.com,Female,70000,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,North America,37,0,1,1,0
11167,Jasmine,Barnes,J,9183 Via Del Sol,NULL,Issaquah,WA,Washington,United States,US,98027,178-555-0156,Single,jasmine43@adventure-works.com,Female,80000,0,0,Bachelors,Management,0,1,0-1 Miles,North America,37,1,1,1,0
11168,David,Rodriguez,NULL,38 Shangri-la Rd.,NULL,Oakland,CA,California,United States,US,94611,730-555-0128,Single,david83@adventure-works.com,Male,80000,0,0,Bachelors,Management,0,1,0-1 Miles,North America,41,1,0,1,0
11169,Bryce,Richardson,NULL,1841 Blackwood Drive,NULL,Coronado,CA,California,United States,US,92118,178-555-0176,Married,bryce8@adventure-works.com,Male,90000,4,4,Bachelors,Management,1,1,0-1 Miles,North America,41,0,0,1,0
11170,Carol,Howard,T,6281 Edward Ave,NULL,Burien,WA,Washington,United States,US,98168,845-555-0127,Married,carol5@adventure-works.com,Female,90000,4,4,Bachelors,Management,1,1,0-1 Miles,North America,42,0,1,1,0
11171,Jonathan,Hill,E,3731 Chinquapin Ct,NULL,Woodland Hills,CA,California,United States,US,91364,134-555-0196,Single,jonathan43@adventure-works.com,Male,100000,1,0,Bachelors,Management,1,2,1-2 Miles,North America,37,1,0,1,0
11172,Gabrielle,Adams,J,5621 Arcadia Pl.,NULL,Lynnwood,WA,Washington,United States,US,98036,403-555-0152,Married,gabrielle58@adventure-works.com,Female,100000,1,0,Bachelors,Management,1,2,1-2 Miles,North America,42,0,0,1,0
11173,Sarah,Thomas,F,5636 Mt. Whitney Dr.,NULL,W. Linn,OR,Oregon,United States,US,97068,868-555-0188,Single,sarah13@adventure-works.com,Female,110000,0,0,Graduate Degree,Management,0,4,0-1 Miles,North America,42,0,1,1,0
11174,Nicholas,Robinson,NULL,1318 Lasalle Street,NULL,Los Angeles,CA,California,United States,US,90012,949-555-0138,Married,nicholas19@adventure-works.com,Male,110000,0,1,Graduate Degree,Management,1,0,2-5 Miles,North America,42,0,0,1,0
11175,Luis,Wang,NULL,6943 Patterson Blvd.,NULL,Beverly Hills,CA,California,United States,US,90210,418-555-0127,Single,luis24@adventure-works.com,Male,70000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,47,1,0,1,0
11176,Mason,Roberts,D,5753 Megan Dr.,NULL,Haney,BC,British Columbia,Canada,CA,V2W 1W2,539-555-0162,Married,mason25@adventure-works.com,Male,90000,4,4,Bachelors,Management,1,1,1-2 Miles,North America,36,0,1,1,0
11177,Jose,Flores,M,3991 Rambling Rose Drive,NULL,San Diego,CA,California,United States,US,92102,157-555-0182,Married,jose6@adventure-works.com,Male,110000,2,4,Graduate Degree,Management,1,2,5-10 Miles,North America,67,0,1,1,0
11178,Nathan,Johnson,J,8927 Daylight Place,NULL,Lakewood,CA,California,United States,US,90712,117-555-0182,Married,nathan55@adventure-works.com,Male,100000,2,3,Graduate Degree,Management,1,3,1-2 Miles,North America,61,0,1,1,0
11179,Molly,Rodriguez,E,5556 Riverland Dr.,NULL,Beverly Hills,CA,California,United States,US,90210,135-555-0185,Married,molly18@adventure-works.com,Female,120000,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,55,0,1,1,0
11180,April,Anand,NULL,3531 Brookview Drive,NULL,Chula Vista,CA,California,United States,US,91910,702-555-0144,Married,april18@adventure-works.com,Female,160000,1,3,Bachelors,Management,1,4,0-1 Miles,North America,67,0,1,1,0
11181,Devin,Martin,P,1085 Greenbelt Way,Unit B-105,Los Angeles,CA,California,United States,US,90012,735-555-0197,Married,devin13@adventure-works.com,Male,170000,2,3,Graduate Degree,Management,1,2,0-1 Miles,North America,55,0,0,1,0
11182,Stephanie,Torres,NULL,6968 Mildred Ln.,NULL,Sedro Woolley,WA,Washington,United States,US,98284,567-555-0176,Single,stephanie19@adventure-works.com,Female,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,65,0,0,1,0
11183,Jasmine,Lee,W,7502 Contuti Avenue,NULL,Santa Cruz,CA,California,United States,US,95062,147-555-0199,Single,jasmine19@adventure-works.com,Female,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,65,0,0,1,0
11184,Meghan,Hernandez,NULL,5872 L St.,NULL,Concord,CA,California,United States,US,94519,967-555-0188,Single,meghan3@adventure-works.com,Female,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,59,0,0,1,0
11185,Ashley,Henderson,NULL,8834 San Jose Ave.,NULL,Metchosin,BC,British Columbia,Canada,CA,V9,173-555-0121,Single,ashley31@adventure-works.com,Female,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,65,0,1,1,0
11186,Sarah,Price,C,4815 Paraiso Ct.,NULL,Palo Alto,CA,California,United States,US,94303,180-555-0133,Single,sarah25@adventure-works.com,Female,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,65,0,0,1,0
11187,Jennifer,Cooper,S,2429 Longview Road,NULL,Burien,WA,Washington,United States,US,98168,857-555-0111,Married,jennifer63@adventure-works.com,Female,60000,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,66,0,1,1,0
11188,Catherine,Morris,NULL,6542 Stonewood Drive,NULL,San Gabriel,CA,California,United States,US,91776,795-555-0117,Married,catherine16@adventure-works.com,Female,60000,4,0,Graduate Degree,Management,0,2,1-2 Miles,North America,65,0,0,1,0
11189,Lawrence,Blanco,W,7502 Contuti Avenue,NULL,Bellingham,WA,Washington,United States,US,98225,656-555-0171,Single,lawrence14@adventure-works.com,Male,60000,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,65,1,1,1,0
11190,Carson,Bryant,NULL,2995 Youngsdale Dr.,NULL,Beverly Hills,CA,California,United States,US,90210,240-555-0142,Married,carson17@adventure-works.com,Male,70000,5,0,Bachelors,Management,1,2,10+ Miles,North America,65,0,0,1,0
11191,Kristi,Perez,E,1769 Lislin Ct,NULL,Colma,CA,California,United States,US,94014,123-555-0181,Single,kristi39@adventure-works.com,Female,70000,5,0,Bachelors,Management,1,3,10+ Miles,North America,64,1,1,1,0
11192,James,Brown,C,673 Old Mountain View Dr.,NULL,Seattle,WA,Washington,United States,US,98104,725-555-0117,Married,james79@adventure-works.com,Male,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,64,0,0,1,0
11193,Ian,Gray,A,5941 Gill Dr.,NULL,Woodburn,OR,Oregon,United States,US,97071,596-555-0190,Married,ian72@adventure-works.com,Male,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,65,0,0,1,0
11194,Jacqueline,Price,R,872 Mark Twain Dr,NULL,Palo Alto,CA,California,United States,US,94303,266-555-0112,Married,jacqueline0@adventure-works.com,Female,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,64,0,1,1,0
11195,Megan,Henderson,NULL,8411 Mt. Olivet Place,NULL,Renton,WA,Washington,United States,US,98055,560-555-0150,Married,megan55@adventure-works.com,Female,60000,5,0,Bachelors,Management,1,3,10+ Miles,North America,64,0,1,1,0
11196,Alfredo,Romero,NULL,2499 Greendell Pl,NULL,Beaverton,OR,Oregon,United States,US,97005,342-555-0110,Married,alfredo10@adventure-works.com,Male,60000,5,0,Bachelors,Management,1,3,10+ Miles,North America,63,0,0,1,0
11197,Andrea,Morris,NULL,1883 Green View Court,NULL,Seattle,WA,Washington,United States,US,98104,715-555-0178,Married,andrea18@adventure-works.com,Female,70000,3,1,Bachelors,Management,0,1,1-2 Miles,North America,63,0,0,1,0
11198,Brooke,Sanders,NULL,5192 Dumbarton Drive,NULL,Santa Cruz,CA,California,United States,US,95062,215-555-0156,Single,brooke3@adventure-works.com,Female,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,63,0,1,1,0
11199,Jacqueline,Bennett,NULL,8948 Chinquapin Court,NULL,Burlingame,CA,California,United States,US,94010,413-555-0174,Married,jacqueline1@adventure-works.com,Female,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,57,0,1,1,0
11200,Jason,Griffin,L,7239 Nicholas Drive,NULL,Victoria,BC,British Columbia,Canada,CA,V8V,232-555-0160,Married,jason18@adventure-works.com,Male,70000,4,1,Bachelors,Management,1,1,1-2 Miles,North America,62,0,1,1,0
11201,Amanda,Foster,NULL,3984 San Francisco,NULL,Santa Monica,CA,California,United States,US,90401,505-555-0159,Married,amanda37@adventure-works.com,Female,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,62,0,1,1,0
11202,Alexia,Price,L,2079 Wellington Ct,NULL,Lakewood,CA,California,United States,US,90712,552-555-0118,Married,alexia0@adventure-works.com,Female,80000,5,0,Bachelors,Management,0,2,1-2 Miles,North America,57,0,0,1,0
11203,Luis,Diaz,D,3682 Diablo View Road,NULL,Port Hammond,BC,British Columbia,Canada,CA,V6B 3P7,171-555-0126,Married,luis21@adventure-works.com,Male,40000,2,1,High School,Professional,1,2,10+ Miles,North America,56,0,1,1,0
11204,Destiny,Rivera,C,6965 Appalachian Drive,NULL,Beaverton,OR,Oregon,United States,US,97005,743-555-0111,Married,destiny33@adventure-works.com,Female,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,61,0,0,1,0
11205,Abby,Fernandez,NULL,8330 Glenside Court,NULL,Burien,WA,Washington,United States,US,98168,134-555-0119,Married,abby13@adventure-works.com,Female,40000,2,1,High School,Professional,1,2,10+ Miles,North America,61,0,0,1,0
11206,Blake,Flores,NULL,9410 Ferry St.,NULL,Lynnwood,WA,Washington,United States,US,98036,975-555-0163,Married,blake60@adventure-works.com,Male,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,61,0,0,1,0
11207,Danielle,Cox,NULL,2346 Wren Ave,NULL,Renton,WA,Washington,United States,US,98055,396-555-0158,Single,danielle12@adventure-works.com,Female,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,61,0,0,1,0
11208,Maria,Reed,NULL,1413 Bridgeview St,NULL,Glendale,CA,California,United States,US,91203,156-555-0163,Married,maria4@adventure-works.com,Female,60000,2,1,Bachelors,Management,1,0,10+ Miles,North America,62,0,0,1,0
11209,Allison,Evans,NULL,3515 Sutton Circle,NULL,Lincoln Acres,CA,California,United States,US,91950,988-555-0151,Married,allison21@adventure-works.com,Female,60000,2,1,Bachelors,Management,1,0,10+ Miles,North America,62,0,0,1,0
11210,Edward,Wood,J,1039 Adelaide St.,NULL,West Covina,CA,California,United States,US,91791,229-555-0114,Married,edward50@adventure-works.com,Male,70000,4,1,Partial College,Professional,1,2,10+ Miles,North America,61,0,1,1,0
